run_id,vehN,pCAV,seed,mean_flow(veh/h),max_flow(veh/h),mean_speed(m/s),det_xml
vehN10_p035_seed1,10,0.35,1,322.800,600.000,27.138,out/vehN10_p035_seed1_e1.xml
vehN20_p035_seed1,20,0.35,1,640.800,1080.000,28.068,out/vehN20_p035_seed1_e1.xml
vehN30_p035_seed1,30,0.35,1,932.400,1080.000,27.909,out/vehN30_p035_seed1_e1.xml
vehN40_p035_seed1,40,0.35,1,1154.400,1260.000,27.863,out/vehN40_p035_seed1_e1.xml
vehN50_p035_seed1,50,0.35,1,1204.800,1320.000,27.916,out/vehN50_p035_seed1_e1.xml
vehN60_p035_seed1,60,0.35,1,1210.800,1320.000,27.864,out/vehN60_p035_seed1_e1.xml
vehN70_p035_seed1,70,0.35,1,1219.200,1380.000,27.919,out/vehN70_p035_seed1_e1.xml
vehN80_p035_seed1,80,0.35,1,1250.400,1380.000,27.873,out/vehN80_p035_seed1_e1.xml
vehN90_p035_seed1,90,0.35,1,1231.200,1380.000,27.430,out/vehN90_p035_seed1_e1.xml
vehN100_p035_seed1,100,0.35,1,1270.800,1440.000,26.944,out/vehN100_p035_seed1_e1.xml
vehN110_p035_seed1,110,0.35,1,1232.400,1320.000,24.939,out/vehN110_p035_seed1_e1.xml
vehN120_p035_seed1,120,0.35,1,1279.200,1500.000,21.290,out/vehN120_p035_seed1_e1.xml
vehN10_p040_seed1,10,0.4,1,322.800,600.000,27.138,out/vehN10_p040_seed1_e1.xml
vehN20_p040_seed1,20,0.4,1,649.200,960.000,28.234,out/vehN20_p040_seed1_e1.xml
vehN30_p040_seed1,30,0.4,1,945.600,1140.000,28.081,out/vehN30_p040_seed1_e1.xml
vehN40_p040_seed1,40,0.4,1,1167.600,1320.000,27.976,out/vehN40_p040_seed1_e1.xml
vehN50_p040_seed1,50,0.4,1,1228.800,1320.000,27.925,out/vehN50_p040_seed1_e1.xml
vehN60_p040_seed1,60,0.4,1,1254.000,1440.000,27.911,out/vehN60_p040_seed1_e1.xml
vehN70_p040_seed1,70,0.4,1,1280.400,1440.000,27.982,out/vehN70_p040_seed1_e1.xml
vehN80_p040_seed1,80,0.4,1,1278.000,1440.000,27.786,out/vehN80_p040_seed1_e1.xml
vehN90_p040_seed1,90,0.4,1,1327.200,1500.000,27.744,out/vehN90_p040_seed1_e1.xml
vehN100_p040_seed1,100,0.4,1,1410.000,1620.000,26.434,out/vehN100_p040_seed1_e1.xml
vehN110_p040_seed1,110,0.4,1,1341.600,1500.000,23.753,out/vehN110_p040_seed1_e1.xml
vehN120_p040_seed1,120,0.4,1,1340.400,1440.000,19.252,out/vehN120_p040_seed1_e1.xml
vehN10_p045_seed1,10,0.45,1,322.800,600.000,27.138,out/vehN10_p045_seed1_e1.xml
vehN20_p045_seed1,20,0.45,1,663.600,780.000,28.390,out/vehN20_p045_seed1_e1.xml
vehN30_p045_seed1,30,0.45,1,968.400,1200.000,28.322,out/vehN30_p045_seed1_e1.xml
vehN40_p045_seed1,40,0.45,1,1186.800,1320.000,28.031,out/vehN40_p045_seed1_e1.xml
